year,month,season,label,media,campaign,install,first_purchase,spend,cpi,cpa,cvr
2023,8,non_season,fp,카카오모먼트,230719_카카오비즈보드(방문_앱)_내셔널브랜드,777,81,6050064,7786.440154440154,74692.14814814815,0.10424710424710425
2023,8,non_season,fp,크리테오,App CAM_1st purchase_AOS,19,521,28274911,1488153.2105263157,54270.46257197697,27.42105263157895
2023,8,non_season,fp,페이스북,UA_fb_conversion_visit_catalog_2201_daba,2661,2115,128247283,48195.145809845926,60637.01323877068,0.7948139797068771
2023,8,non_season,fp,페이스북,UP_fb_traffic_pmkt_2201_IOS,71,65,5017642,70671.01408450704,77194.4923076923,0.9154929577464789
2023,8,non_season,fp,페이스북,UP_fb_traffic_pmkt_2307_IOS_national,21,18,1931703,91985.85714285714,107316.83333333333,0.8571428571428571
2023,8,non_season,fp,페이스북,fb_conversion_visit_catalog_2201_daba,0,3,0,,0.0,inf
2023,9,season,fp,ACe,[AOS] ACe_UA,33,291,16797934,509028.30303030304,57724.85910652921,8.818181818181818
2023,9,season,fp,RTB하우스,UA_rtbhouse_retargeting_AOS,16,330,19823017,1238938.5625,60069.74848484848,20.625
2023,9,season,fp,RTB하우스,UA_rtbhouse_retargeting_IOS,18,122,6698930,372162.77777777775,54909.262295081964,6.777777777777778
2023,9,season,fp,구글,UA_Pmax,135,64,8610457,63781.16296296296,134538.390625,0.4740740740740741
2023,9,season,fp,카카오모먼트,220106_카카오비즈보드(방문_앱),1872,327,25701750,13729.567307692309,78598.62385321101,0.17467948717948717
2023,9,season,fp,카카오모먼트,220913_카카오비즈보드(전환_회원가입_앱),14,16,1548023,110573.07142857143,96751.4375,1.1428571428571428
2023,9,season,fp,카카오모먼트,230316_카카오비즈보드(전환_앱)_UA_가입타겟팅,552,1206,89563124,162252.03623188406,74264.6135986733,2.1847826086956523
2023,9,season,fp,카카오모먼트,230719_카카오비즈보드(방문_앱)_내셔널브랜드,692,74,5593751,8083.455202312139,75591.22972972973,0.1069364161849711
2023,9,season,fp,카카오모먼트,230908_카카오비즈보드(전환_앱)_UA_콘텐츠조회타겟팅,70,6,1892760,27039.428571428572,315460.0,0.08571428571428572
2023,9,season,fp,쿠키오븐,UA_cookieoven_newpur_reward,4049,2134,43377400,10713.11434922203,20326.80412371134,0.5270437144974067
2023,9,season,fp,크리테오,App CAM_1st purchase_AOS,10,382,23538276,2353827.6,61618.523560209425,38.2
2023,9,season,fp,토스,UA_toss_newpur_reward,802,594,14374800,17923.69077306733,24200.0,0.7406483790523691
2023,9,season,fp,페이스북,UA_fb_conversion_visit_catalog_2201_daba,2508,1823,118677061,47319.40231259968,65099.86889742183,0.7268740031897927
2023,9,season,fp,페이스북,UP_fb_traffic_pmkt_2201_IOS,62,25,3216896,51885.41935483871,128675.84,0.4032258064516129
2023,9,season,fp,페이스북,fb_conversion_pmkt_2305_ASC,202,39,5433592,26898.970297029704,139322.87179487178,0.19306930693069307
2023,9,season,fp,페이스북,fb_conversion_visit_catalog_2201_daba,0,0,0,,,
