,date,label,media,campaign,spend,imp,install,CPI,first_purchase,cpa,binned
185,2022.2.25,인스톨,페이스북,fb_app_install_catalog_ios_2201,1200405,169313,835,1438,12,100034,"(455.0, 910.0]"
191,2022.2.26,인스톨,페이스북,fb_app_install_catalog_aos_2201,368642,30704,448,823,12,30720,"(0.0, 455.0]"
192,2022.2.26,인스톨,페이스북,fb_app_install_catalog_ios_2201,1200192,176135,813,1476,13,92322,"(455.0, 910.0]"
198,2022.2.27,인스톨,페이스북,fb_app_install_catalog_aos_2201,383840,29793,456,842,15,25589,"(455.0, 910.0]"
199,2022.2.27,인스톨,페이스북,fb_app_install_catalog_ios_2201,1228525,189006,954,1288,2,614263,"(910.0, 1365.0]"
207,2022.2.28,인스톨,페이스북,fb_app_install_catalog_aos_2201,380321,27587,415,916,9,42258,"(0.0, 455.0]"
208,2022.2.28,인스톨,페이스북,fb_app_install_catalog_ios_2201,1221624,194387,1043,1171,7,174518,"(910.0, 1365.0]"
218,2022.3.1,인스톨,페이스북,fb_app_install_catalog_aos_2201,381262,31849,455,838,24,15886,"(0.0, 455.0]"
219,2022.3.1,인스톨,페이스북,fb_app_install_catalog_ios_2201,1222413,195348,945,1294,9,135824,"(910.0, 1365.0]"
229,2022.3.2,인스톨,페이스북,fb_app_install_catalog_aos_2201,380397,32220,446,853,14,27171,"(0.0, 455.0]"
230,2022.3.2,인스톨,페이스북,fb_app_install_catalog_ios_2201,1215982,196183,1088,1118,9,135109,"(910.0, 1365.0]"
240,2022.3.3,인스톨,페이스북,fb_app_install_catalog_aos_2201,379275,30544,402,943,26,14587,"(0.0, 455.0]"
241,2022.3.3,인스톨,페이스북,fb_app_install_catalog_ios_2201,1206866,179128,827,1459,13,92836,"(455.0, 910.0]"
251,2022.3.4,인스톨,페이스북,fb_app_install_catalog_aos_2201,315238,26144,342,922,19,16591,"(0.0, 455.0]"
252,2022.3.4,인스톨,페이스북,fb_app_install_catalog_ios_2201,1011359,141692,774,1307,4,252840,"(455.0, 910.0]"
262,2022.3.5,인스톨,페이스북,fb_app_install_catalog_aos_2201,433953,35243,499,870,23,18868,"(455.0, 910.0]"
263,2022.3.5,인스톨,페이스북,fb_app_install_catalog_ios_2201,1386948,235422,666,2083,17,81585,"(455.0, 910.0]"
273,2022.3.6,인스톨,페이스북,fb_app_install_catalog_aos_2201,382126,35419,503,760,25,15285,"(455.0, 910.0]"
274,2022.3.6,인스톨,페이스북,fb_app_install_catalog_ios_2201,1226402,221314,1024,1198,18,68133,"(910.0, 1365.0]"
284,2022.3.7,인스톨,페이스북,fb_app_install_catalog_aos_2201,678132,53716,717,946,41,16540,"(455.0, 910.0]"
285,2022.3.7,인스톨,페이스북,fb_app_install_catalog_ios_2201,1524577,244127,1043,1462,18,84699,"(910.0, 1365.0]"
286,2022.3.7,인스톨,페이스북,fb_app_install_static_aos_2202,116500,6497,21,5548,1,116500,"(0.0, 455.0]"
296,2022.3.8,인스톨,페이스북,fb_app_install_catalog_aos_2201,1082357,79091,1059,1022,38,28483,"(910.0, 1365.0]"
297,2022.3.8,인스톨,페이스북,fb_app_install_catalog_ios_2201,1698379,247185,1063,1598,16,106149,"(910.0, 1365.0]"
298,2022.3.8,인스톨,페이스북,fb_app_install_static_aos_2202,119504,9036,45,2656,0,0,"(0.0, 455.0]"
308,2022.3.9,인스톨,페이스북,fb_app_install_catalog_aos_2201,1081614,87804,1279,846,77,14047,"(910.0, 1365.0]"
309,2022.3.9,인스톨,페이스북,fb_app_install_catalog_ios_2201,1693040,300702,1082,1565,42,40310,"(910.0, 1365.0]"
319,2022.3.10,인스톨,페이스북,fb_app_install_catalog_aos_2201,1057998,77271,981,1078,48,22042,"(910.0, 1365.0]"
320,2022.3.10,인스톨,페이스북,fb_app_install_catalog_ios_2201,1665011,289845,1389,1199,17,97942,"(1365.0, 1820.0]"
321,2022.3.10,인스톨,페이스북,fb_app_install_static_aos_2202,0,0,0,0,0,0,
331,2022.3.11,인스톨,페이스북,fb_app_install_catalog_aos_2201,1086741,74616,1013,1073,42,25875,"(910.0, 1365.0]"
332,2022.3.11,인스톨,페이스북,fb_app_install_catalog_ios_2201,1694496,276167,1047,1618,25,67780,"(910.0, 1365.0]"
344,2022.3.12,인스톨,페이스북,fb_app_install_catalog_aos_2201,1074865,77187,1029,1045,53,20280,"(910.0, 1365.0]"
345,2022.3.12,인스톨,페이스북,fb_app_install_catalog_ios_2201,1659475,280875,1067,1555,13,127652,"(910.0, 1365.0]"
357,2022.3.13,인스톨,페이스북,fb_app_install_catalog_aos_2201,1095720,83418,1182,927,51,21485,"(910.0, 1365.0]"
358,2022.3.13,인스톨,페이스북,fb_app_install_catalog_ios_2201,1715882,285849,1267,1354,21,81709,"(910.0, 1365.0]"
370,2022.3.14,인스톨,페이스북,fb_app_install_catalog_aos_2201,1042315,69410,874,1193,42,24817,"(455.0, 910.0]"
371,2022.3.14,인스톨,페이스북,fb_app_install_catalog_ios_2201,1712121,234867,1227,1395,17,100713,"(910.0, 1365.0]"
383,2022.3.15,인스톨,페이스북,fb_app_install_catalog_aos_2201,1228313,78915,1028,1195,50,24566,"(910.0, 1365.0]"
384,2022.3.15,인스톨,페이스북,fb_app_install_catalog_ios_2201,1852859,255278,1017,1822,19,97519,"(910.0, 1365.0]"
396,2022.3.16,인스톨,페이스북,fb_app_install_catalog_aos_2201,1031774,68950,877,1176,29,35578,"(455.0, 910.0]"
397,2022.3.16,인스톨,페이스북,fb_app_install_catalog_ios_2201,1841771,269021,1036,1778,14,131555,"(910.0, 1365.0]"
398,2022.3.16,인스톨,페이스북,fb_app_install_static_aos_2202,78279,3421,10,7828,0,0,"(0.0, 455.0]"
412,2022.3.17,인스톨,페이스북,fb_app_install_catalog_aos_2201,1082403,78019,994,1089,44,24600,"(910.0, 1365.0]"
413,2022.3.17,인스톨,페이스북,fb_app_install_catalog_ios_2201,1793099,252127,978,1833,13,137931,"(910.0, 1365.0]"
414,2022.3.17,인스톨,페이스북,fb_app_install_static_aos_2202,119640,4571,11,10876,0,0,"(0.0, 455.0]"
428,2022.3.18,인스톨,페이스북,fb_app_install_catalog_aos_2201,1081842,76520,908,1191,44,24587,"(455.0, 910.0]"
429,2022.3.18,인스톨,페이스북,fb_app_install_catalog_ios_2201,1837813,176435,954,1926,12,153151,"(910.0, 1365.0]"
430,2022.3.18,인스톨,페이스북,fb_app_install_static_aos_2202,120125,5679,9,13347,0,0,"(0.0, 455.0]"
443,2022.3.19,인스톨,페이스북,fb_app_install_catalog_aos_2201,1066856,81462,1028,1038,52,20516,"(910.0, 1365.0]"
444,2022.3.19,인스톨,페이스북,fb_app_install_catalog_ios_2201,1812559,189050,764,2372,17,106621,"(455.0, 910.0]"
445,2022.3.19,인스톨,페이스북,fb_app_install_static_aos_2202,117244,5498,14,8375,3,39081,"(0.0, 455.0]"
459,2022.3.20,인스톨,페이스북,fb_app_install_catalog_aos_2201,1114512,80253,1112,1002,42,26536,"(910.0, 1365.0]"
460,2022.3.20,인스톨,페이스북,fb_app_install_catalog_ios_2201,1865872,197706,840,2221,15,124391,"(455.0, 910.0]"
