,date,label,media,campaign,spend,imp,click,install,CPI,first_purchase,cpa,month,year
284,2022-03-07,인스톨,페이스북,fb_app_install_catalog_aos_2201,678132.2185,53716,4854,717,945.7910997,41,16539.81021,3,2022
285,2022-03-07,인스톨,페이스북,fb_app_install_catalog_ios_2201,1524576.52,244127,19993,1043,1461.722454,18,84698.69555,3,2022
286,2022-03-07,인스톨,페이스북,fb_app_install_static_aos_2202,116500.4154,6497,168,21,5547.638826,1,116500.4154,3,2022
287,2022-03-07,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,552936.56,144499,1726,0,0.0,4,138234.14,3,2022
288,2022-03-07,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),89540.0,25196,186,0,0.0,0,0.0,3,2022
289,2022-03-07,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,2380712.758,117295,6363,24,99196.36492,55,43285.68651,3,2022
290,2022-03-08,인스톨,ACi,★ [AOS] UAC_Action,310161.555,28587,388,54,5743.7325,1,310161.555,3,2022
291,2022-03-08,인스톨,ACi,★ [AOS] UAC_Install,1272817.7,135521,4268,474,2685.269409,2,636408.85,3,2022
292,2022-03-08,인스톨,몰로코,29cm_a_ua_kor,261397.6583,293911,3291,14,18671.26131,0,0.0,3,2022
293,2022-03-08,인스톨,몰로코,29cm_i_ua_kor,487301.5444,98947,2830,3,162433.8481,1,487301.5444,3,2022
294,2022-03-08,인스톨,크리테오,App Install_AOS,425874.8747,734517,4221,244,1745.388831,6,70979.14578,3,2022
295,2022-03-08,인스톨,크리테오,App Install_iOS (NEW),868858.6467,1487861,3453,97,8957.305636,6,144809.7745,3,2022
296,2022-03-08,인스톨,페이스북,fb_app_install_catalog_aos_2201,1082357.263,79091,7062,1059,1022.055962,38,28483.08588,3,2022
297,2022-03-08,인스톨,페이스북,fb_app_install_catalog_ios_2201,1698379.184,247185,19059,1063,1597.722656,16,106148.699,3,2022
298,2022-03-08,인스톨,페이스북,fb_app_install_static_aos_2202,119503.5507,9036,209,45,2655.634459,0,0.0,3,2022
299,2022-03-08,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,550202.895,100148,1095,0,0.0,5,110040.579,3,2022
300,2022-03-08,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),91762.0,21079,202,0,0.0,0,0.0,3,2022
301,2022-03-08,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,1912663.504,96614,5988,21,91079.2145,66,28979.75007,3,2022
302,2022-03-09,인스톨,ACi,★ [AOS] UAC_Action,970367.585,87659,1614,175,5544.957629,3,323455.8617,3,2022
303,2022-03-09,인스톨,ACi,★ [AOS] UAC_Install,1466699.19,150650,4681,461,3181.560065,5,293339.838,3,2022
304,2022-03-09,인스톨,몰로코,29cm_a_ua_kor,260889.5125,387757,3195,5,52177.9025,0,0.0,3,2022
305,2022-03-09,인스톨,몰로코,29cm_i_ua_kor,485378.0995,627396,2874,17,28551.65291,1,485378.0995,3,2022
306,2022-03-09,인스톨,크리테오,App Install_AOS,733417.5382,1339702,6300,364,2014.883347,4,183354.3845,3,2022
307,2022-03-09,인스톨,크리테오,App Install_iOS (NEW),1006288.259,2073801,4775,132,7623.395904,9,111809.8066,3,2022
308,2022-03-09,인스톨,페이스북,fb_app_install_catalog_aos_2201,1081614.063,87804,8010,1279,845.6716679,77,14046.93589,3,2022
309,2022-03-09,인스톨,페이스북,fb_app_install_catalog_ios_2201,1693040.276,300702,22157,1082,1564.732233,42,40310.48277,3,2022
310,2022-03-09,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,543636.28,100382,1249,2,271818.14,1,543636.28,3,2022
311,2022-03-09,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),94589.0,16944,184,0,0.0,0,0.0,3,2022
312,2022-03-09,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,1896419.273,115780,7461,29,65393.76802,94,20174.67311,3,2022
313,2022-03-10,인스톨,ACi,★ [AOS] UAC_Action,614085.395,50096,910,95,6464.056789,2,307042.6975,3,2022
314,2022-03-10,인스톨,ACi,★ [AOS] UAC_Install,1349161.715,124715,4300,425,3174.498153,4,337290.4288,3,2022
315,2022-03-10,인스톨,몰로코,29cm_a_ua_kor,261279.7714,620013,2705,11,23752.70649,0,0.0,3,2022
316,2022-03-10,인스톨,몰로코,29cm_i_ua_kor,485407.9413,973221,3011,29,16738.20487,0,0.0,3,2022
317,2022-03-10,인스톨,크리테오,App Install_AOS,440973.3455,832333,3646,174,2534.329572,2,220486.6727,3,2022
318,2022-03-10,인스톨,크리테오,App Install_iOS (NEW),561118.2005,1169337,2497,57,9844.178956,7,80159.74293,3,2022
319,2022-03-10,인스톨,페이스북,fb_app_install_catalog_aos_2201,1057998.499,77271,6723,981,1078.489806,48,22041.6354,3,2022
320,2022-03-10,인스톨,페이스북,fb_app_install_catalog_ios_2201,1665011.014,289845,19028,1389,1198.712033,17,97941.82433,3,2022
321,2022-03-10,인스톨,페이스북,fb_app_install_static_aos_2202,0.0,0,0,0,0.0,0,0.0,3,2022
322,2022-03-10,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,537135.445,90021,1083,1,537135.445,1,537135.445,3,2022
323,2022-03-10,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),97933.0,27367,208,0,0.0,0,0.0,3,2022
324,2022-03-10,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,1849036.471,110050,6502,20,92451.82356,75,24653.81962,3,2022
325,2022-03-11,인스톨,ACi,★ [AOS] UAC_Action,563243.78,43857,792,74,7611.402432,2,281621.89,3,2022
326,2022-03-11,인스톨,ACi,★ [AOS] UAC_Install,1347819.55,106338,3977,409,3295.402323,3,449273.1833,3,2022
327,2022-03-11,인스톨,몰로코,29cm_a_ua_kor,261585.8533,456636,2374,17,15387.40313,1,261585.8533,3,2022
328,2022-03-11,인스톨,몰로코,29cm_i_ua_kor,484477.9853,925819,3034,34,14249.35251,1,484477.9853,3,2022
329,2022-03-11,인스톨,크리테오,App Install_AOS,648299.2175,1012478,5664,266,2437.215103,2,324149.6088,3,2022
330,2022-03-11,인스톨,크리테오,App Install_iOS (NEW),635891.8445,1117531,2745,72,8831.831174,3,211963.9482,3,2022
331,2022-03-11,인스톨,페이스북,fb_app_install_catalog_aos_2201,1086740.628,74616,6796,1013,1072.794302,42,25874.77685,3,2022
332,2022-03-11,인스톨,페이스북,fb_app_install_catalog_ios_2201,1694496.342,276167,18858,1047,1618.430126,25,67779.85368,3,2022
333,2022-03-11,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,451559.46,76645,978,0,0.0,3,150519.82,3,2022
334,2022-03-11,첫구매,몰로코,29cm_a_re_kor_newpurchase,151685.2864,73742,1803,5,30337.05728,0,0.0,3,2022
335,2022-03-11,첫구매,몰로코,29cm_i_re_kor_newpurchase,149449.6911,6528,82,0,0.0,0,0.0,3,2022
336,2022-03-11,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),58707.0,15801,133,0,0.0,0,0.0,3,2022
337,2022-03-11,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,1914286.411,99897,6241,18,106349.245,62,30875.58727,3,2022
338,2022-03-12,인스톨,ACi,★ [AOS] UAC_Action,684477.585,50796,862,99,6913.915,2,342238.7925,3,2022
339,2022-03-12,인스톨,ACi,★ [AOS] UAC_Install,1377134.66,111657,4105,411,3350.692603,4,344283.665,3,2022
340,2022-03-12,인스톨,몰로코,29cm_a_ua_kor,260628.8534,472231,2530,13,20048.37334,1,260628.8534,3,2022
341,2022-03-12,인스톨,몰로코,29cm_i_ua_kor,484159.3309,986964,2933,45,10759.09624,1,484159.3309,3,2022
342,2022-03-12,인스톨,크리테오,App Install_AOS,879320.9937,1340245,7647,352,2498.071005,5,175864.1987,3,2022
343,2022-03-12,인스톨,크리테오,App Install_iOS (NEW),885863.5484,1441016,3864,130,6814.334987,6,147643.9247,3,2022
